ID_Venta,Producto,Ciudad,Categoria,Precio_Unitario,Cantidad,Fecha_Venta,Cliente,Email,Telefono,Direccion,Metodo_Pago,Estado,Comentario,Descuento
29,TRADE,Valerietown,INDIVIDUAL,300,27,2023-04-14,Juan Manning,matthew29@example.com,8487233346,"664 Berger Rapid
South Suzanne, WV 68526",Efectivo,Entregado,Producto defectuoso,27
23,KITCHEN,New Reginaldmouth,JOB,3000,16,2023-09-13,Dr. Monica Woods,edward94@example.org,(339) 00428204920,"233 Peterson Canyon
Tranmouth, ND 40770",Tarjeta,En camino,Ninguno,19
1,OPERATION,East Josephland,INDIVIDUAL,200,11,2023-05-06,Andrew Mitchell,paul49@example.net,(175) 175834,"93043 Kiara Crossroad
Port Amandachester, WI 16919",Efectivo,Entregado,Ninguno,83
20,TRADE,Lindaport,STILL,300,23,2024-12-09,Karl Cardenas,rbrown@example.org,(686) 990991,"30768 Louis Mill
Lake Carmen, LA 47934",Efectivo,En camino,Ninguno,88
5,PRESENT,East Brittany,MATTER,200,28,2022-12-04,Adam  Mueller,paul02@example.com,(621) 75126511205,"664 Berger Rapid
South Suzanne, WV 68526",Tarjeta,Entregado,Producto defectuoso,28
20,PRESENT,South Timothyberg,NORTH,300,11,2023-05-06,Sean Mitchell,ydavid@example.com,5571938141,"915 Mathis Camp Apt. 447
Thomastown, MS 44338",Tarjeta,Entregado,Producto defectuoso,49
4,PRESENT,North Brittney,BUDGET,1100,23,2023-11-20,Andrew Mitchell,briangonzales@example.net,(110) 59261937727,"18235 Carl Garden Apt. 025
Lake Miranda, LA 16737",Tarjeta,Entregado,Ninguno,54
24,PRESENT,North Brittney,BUDGET,2100,23,2023-03-22,Roger Stephens,steelejulian@example.net,(001) 389556200,"2644 Gonzalez Mills Apt. 856
Port Frank, IN 25816",Efectivo,Entregado,Producto defectuoso,74
26,PROFESSOR,East Janicemouth,MATTER,700,21,2023-01-14,Sean Mitchell,eric24@example.com,(001) 94337542187814,"18235 Carl Garden Apt. 025
Lake Miranda, LA 16737",Tarjeta,En camino,Ninguno,38
12,PROFESSOR,Nguyenshire,LEADER,700,30,2023-09-23,Charles Williams,sandersbeth@example.org,(641) 0065992234,"664 Berger Rapid
South Suzanne, WV 68526",Tarjeta,Entregado,Producto defectuoso,25
30,OPERATION,EastJanicemouth,PAY,1500,10,2023-08-27,Dr. Monica Woods,parkerandrew@example.org,2661673098,"18235 Carl Garden Apt. 025
Lake Miranda, LA 16737",Tarjeta,Entregado,Ninguno,74
11,FOOD,North Jasmine,BUDGET,2100,10,2023-07-15,Kelsey  Lopez,powersjimmy@example.org,8572628794,"18235 Carl Garden Apt. 025
Lake Miranda, LA 16737",Efectivo,En camino,Producto defectuoso,53
19,UP,East Brittany,TV,900,22,2023-02-09,Jennifer Holmes,estesjon@example.org,(001) 19330387387349,"664 Berger Rapid
South Suzanne, WV 68526",Tarjeta,En camino,Producto defectuoso,27
17,INVOLVE,North Jasmine,SET,600,22,2024-12-09,Dr. Monica Woods,wwilson@example.org,(001) 389556200,"664 Berger Rapid
South Suzanne, WV 68526",Efectivo,Entregado,Producto defectuoso,43
30,PRESENT,Larrychester,SPRING,2100,28,2023-03-13,Robert Bryant,wwilson@example.org,8487233346,"91315 Simpson Fork Apt. 336
South Mark, GA 64860",Tarjeta,Entregado,Producto defectuoso,24
23,FOOD,East Leah,INDIVIDUAL,200,22,2023-03-22,Kelsey  Lopez,paul02@example.com,(686) 990991,"7474 Sean Pine
Frazierchester, OK 57469",Efectivo,Entregado,Producto defectuoso,87
17,SIX,East Josephland,DESPITE,900,21,2023-09-13,Benjamin Chan,david09@example.com,8572628794,"37970 Hudson Falls
Downshaven, PA 58533",Tarjeta,Entregado,Ninguno,28
15,WAIT,New Reginaldmouth,SET,1300,29,2023-05-05,Dr. Monica Woods,lweaver@example.org,(612) 211834900,"7474 Sean Pine
Frazierchester, OK 57469",Efectivo,Entregado,Ninguno,83
21,TRADE,South Timothyberg,GROW,700,10,2023-05-06,Susan Harvey,matthew29@example.com,(175) 175834,"03346 Tony Spring Apt. 633
Ericberg, AK 73272",Tarjeta,En camino,Ninguno,30
18,STAFF,Port Kelly,INDIVIDUAL,2100,27,2024-12-09,Lisa Stafford,estesjon@example.org,2661673098,"67032 Megan Cliffs Suite 876
Loveside, SD 53246",Efectivo,Entregado,Producto defectuoso,19
17,OPERATION,Jessechester,POPULAR,300,26,2023-09-01,Angela Taylor,ydavid@example.com,(001) 962368217,"67032  Megan  Cliffs  Suite  876
Loveside,  SD  53246",Tarjeta,Entregado,Producto defectuoso,88
26,OPERATION,New Reginaldmouth,LEADER,2100,21,2024-12-09,Susan Harvey,schmidtkrystal@example.org,(001) 9023136721535,"2644 Gonzalez Mills Apt. 856
Port Frank, IN 25816",Tarjeta,Entregado,Ninguno,36
3,DOOR,Jessechester,MEMBER,1100,25,2023-07-08,Susan Harvey,rdaugherty@example.net,(001) 36332501439284,"93043 Kiara Crossroad
Port Amandachester, WI 16919",Tarjeta,En camino,Producto defectuoso,83
9,UP,Nguyenshire,SET,1100,17,2023-05-05,Mark Mays,lweaver@example.org,8572628794,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Tarjeta,Entregado,Producto defectuoso,19
16,SONG,Lake Juan,MATTER,1500,8,2023-07-08,Adam Mueller,rbrown@example.org,2661673098,"22214 Janet Plaza Suite 903
West Christopherside, DC 40075",Tarjeta,En camino,Producto defectuoso,88
16,OPERATION,Trujillofort,GROW,1100,11,2023-06-07,Carla Orozco,dhuber@example.com,(621) 75126511205,"507 Johnson Port
Banksshire, AK 72140",Tarjeta,En camino,Ninguno,38
7,SONG,Trujillofort,POPULAR,900,24,2023-07-15,Jessica Davis,rbrown@example.org,(175) 175834,"4412 Lee Dam Apt. 872
Hunterbury, HI 03589",Tarjeta,En camino,Ninguno,19
21,UNDER,North Brittney,FINISH,2100,22,2023-09-13,Lisa?Stafford,lweaver@example.org,8487233346,"30768 Louis Mill
Lake Carmen, LA 47934",Efectivo,Entregado,Ninguno,42
19,SONG,Valerietown,LEG,2400,17,2023-10-15,Susan Harvey,powersjimmy@example.org,6304696433,"7474 Sean Pine
Frazierchester, OK 57469",Efectivo,En camino,Ninguno,54
20,FACTOR,East Jonathan,SAY,1300,27,2023-08-17,Jessica Davis,briangonzales@example.net,(175) 175834,"37970 Hudson Falls
Downshaven, PA 58533",Tarjeta,En camino,Producto defectuoso,53
3,BASE,Andrewside,GROUP,2100,12,2023-01-04,Lisa*Stafford,krystalmcdaniel@example.org,(475) 36070987999,"29340 Murphy Parkway
North Robert, KS 42070",Efectivo,Entregado,Producto defectuoso,53
16,STRATEGY,East Janicemouth,LETTER,1100,22,2023-09-13,Crystal Chambers,lweaver@example.org,(602) 388997526,"403 Ashley Mountains Apt. 918
Nicholasberg, MI 72538",Tarjeta,En camino,Producto defectuoso,28
26,FIRM,Susanton,FINISH,700,18,2023-09-12,Karl Cardenas,hornebeth@example.com,(101) 8897038562,"848 Jimmy Hill Apt. 415
Stanleyside, MA 75473",Tarjeta,En camino,Producto defectuoso,30
1,ADMINISTRATION,Brendanberg,STEP,300,21,2023-05-06,Daniel Garcia,paul02@example.com,(509) 210932647,"848 Jimmy Hill Apt. 415
Stanleyside, MA 75473",Efectivo,Entregado,Ninguno,78
15,PROFESSOR,Valerietown,RICH,300,10,2023-01-14,Samantha Parker,brianboyd@example.org,8572628794,"USS Fuller
FPO AA 30334",Tarjeta,En camino,Ninguno,14
1,OPERATION,South Thomas,PAY,1600,21,2023-06-28,Lisa Stafford,walkerraven@example.net,2661673098,"37970 Hudson Falls
Downshaven, PA 58533",Tarjeta,Entregado,Producto defectuoso,87
22,UP,North Thomastown,POPULAR,900,29,2023-08-27,Angela Taylor,rdaugherty@example.net,(602) 388997526,"403 Ashley Mountains Apt. 918
Nicholasberg, MI 72538",Tarjeta,En camino,Producto defectuoso,14
22,JUST,Vasquezborough,NORTH,2100,14,2023-07-15,Cynthia Hayes,matthew29@example.com,(001) 962368217,"PSC 2182, Box 8243
APO AP 79039",Tarjeta,Entregado,Producto defectuoso,4
21,UP,East Leah,STILL,300,16,2023-09-13,Sharon Lowe,lweaver@example.org,(686) 990991,"91315 Simpson Fork Apt. 336
South Mark, GA 64860",Tarjeta,Entregado,Ninguno,39
11,OPERATION,Lake Juan,INDUSTRY,1500,2,2023-08-17,Jennifer Holmes,cwilliams@example.com,(369) 746572373,"29340 Murphy Parkway
North Robert, KS 42070",Efectivo,Entregado,Ninguno,88
23,SONG,East Jonathan,POPULAR,1500,27,2024-12-09,Lisa Stafford,david09@example.com,(339) 00428204920,"50604 Anthony Villages
New William, ME 95446",Efectivo,Entregado,Producto defectuoso,24
22,FOCUS,Larrychester,AT,700,7,2023-03-13,Dr. Monica Woods,hornebeth@example.com,(001) 94337542187814,"025 Billy Row
Lisaside, AR 96338",Tarjeta,Entregado,Producto defectuoso,30
21,OWNER,Valerietown,FINISH,2000,15,2023-03-22,Andrew  Mitchell,lharmon@example.net,(001) 9023136721535,"403 Ashley Mountains Apt. 918
Nicholasberg, MI 72538",Tarjeta,Entregado,Producto defectuoso,53
12,JUST,South Timothyberg,SPRING,3000,18,2023-02-09,Jessica Davis,david09@example.com,5251947529,"025 Billy Row
Lisaside, AR 96338",Efectivo,En camino,Producto defectuoso,43
28,DOG,Lindaport,SPRING,1500,9,2023-09-23,Daniel Garcia,parkerandrew@example.org,(339) 00428204920,"22214 Janet Plaza Suite 903
West Christopherside, DC 40075",Tarjeta,Entregado,Ninguno,88
23,HOME,East Josephland,STEP,700,7,2023-06-28,Samantha Hodges,eric24@example.com,(509) 210932647,"22214 Janet Plaza Suite 903
West Christopherside, DC 40075",Efectivo,En camino,Ninguno,25
27,STAFF,Port Alexachester,EXIST,1500,11,2023-09-13,Cynthia Hayes,sandersbeth@example.org,(870) 608083698,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Efectivo,Entregado,Producto defectuoso,83
23,DOOR,Susanton,STEP,600,16,2023-03-22,Cynthia Hayes,powersjimmy@example.org,(001) 575431910,"4412 Lee Dam Apt. 872
Hunterbury, HI 03589",Efectivo,Entregado,Ninguno,83
16,SONG,East Josephland,GROW,1100,25,2024-12-09,Jennifer Holmes,harperdanielle@example.net,(602) 388997526,"18235 Carl Garden Apt. 025
Lake Miranda, LA 16737",Efectivo,En camino,Producto defectuoso,78
29,INVOLVE,Courtneymouth,NORTH,700,8,2024-12-09,Roger Stephens,lweaver@example.org,(509) 210932647,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Efectivo,Entregado,Producto defectuoso,42
5,STAFF,New Reginaldmouth,GROW,1300,21,2023-06-21,Lisa Stafford,karaware@example.net,(001) 962368217,"03346 Tony Spring Apt. 633
Ericberg, AK 73272",Efectivo,Entregado,Producto defectuoso,19
20,JUST,Larrychester,RICH,200,10,2023-07-08,Jennifer?Holmes,eric87@example.org,(101) 8897038562,"91315 Simpson Fork Apt. 336
South Mark, GA 64860",Efectivo,En camino,Ninguno,25
6,OPERATION,Larrychester,FINISH,2500,23,2023-08-17,Angela Taylor,powersjimmy@example.org,5571938141,"37970 Hudson Falls
Downshaven, PA 58533",Tarjeta,Entregado,Producto defectuoso,25
8,CHOICE,PortKelly,POPULAR,700,28,2023-11-20,Carla Orozco,wliu@example.net,8572628794,"848 Jimmy Hill Apt. 415
Stanleyside, MA 75473",Tarjeta,Entregado,Producto defectuoso,83
9,DEMOCRATIC,Valerietown,MUCH,900,11,2023-09-13,Susan Harvey,parkerandrew@example.org,(110) 59261937727,"91315 Simpson Fork Apt. 336
South Mark, GA 64860",Tarjeta,En camino,Producto defectuoso,30
5,CHOICE,Nguyenshire,LEG,900,11,2024-12-09,Lisa Stafford,wwilson@example.org,(372) 684886317,"93043 Kiara Crossroad
Port Amandachester, WI 16919",Tarjeta,Entregado,Ninguno,30
2,TRADE,New Reginaldmouth,INDIVIDUAL,200,23,2023-11-20,Jessica Davis,estesjon@example.org,(372) 684886317,"769 Dickerson Drive
Jasminemouth, HI 08895",Efectivo,Entregado,Producto defectuoso,72
26,OPERATION,New Reginaldmouth,MATTER,2300,27,2024-12-09,Susan Harvey,wwilson@example.org,6304696433,"769 Dickerson Drive
Jasminemouth, HI 08895",Efectivo,Entregado,Ninguno,43
10,TRADE,Kevinton,POPULAR,300,30,2023-06-28,David Norton,estesjon@example.org,(001) 575431910,"29340 Murphy Parkway
North Robert, KS 42070",Efectivo,Entregado,Ninguno,42
2,EDUCATION,North Thomastown,MOVEMENT,1100,16,2023-08-13,Brittney Guerra,wliu@example.net,5571938141,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Tarjeta,En camino,Producto defectuoso,36
27,DOOR,Lake Juan,DESPITE,3000,13,2023-07-15,Daniel  Garcia,harperdanielle@example.net,(110) 59261937727,"11613 Miller Ridges Suite 186
East Nicholas, MN 69937",Tarjeta,Entregado,Ninguno,28
29,JUST,Nguyenshire,RICH,900,8,2023-08-13,Michelle Mitchell,matthew29@example.com,(001) 962368217,"769 Dickerson Drive
Jasminemouth, HI 08895",Efectivo,Entregado,Ninguno,18
17,KITCHEN,Briannaport,JOB,1500,17,2023-05-05,Carla Orozco,steelejulian@example.net,4914742586,"403 Ashley Mountains Apt. 918
Nicholasberg, MI 72538",Tarjeta,En camino,Producto defectuoso,39
8,STAFF,North Thomastown,GROUP,2500,26,2023-01-14,Sean Mitchell,karaware@example.net,(101) 8897038562,"025 Billy Row
Lisaside, AR 96338",Efectivo,Entregado,Producto defectuoso,19
27,CHOICE,Milesburgh,AT,700,8,2023-05-06,David Norton,briangonzales@example.net,(372) 684886317,"848?Jimmy?Hill?Apt.?415
Stanleyside,?MA?75473",Tarjeta,Entregado,Producto defectuoso,24
20,WAIT,Valerietown,INDIVIDUAL,1300,27,2023-01-14,Robert Bryant,dhuber@example.com,(475) 36070987999,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Efectivo,En camino,Producto defectuoso,27
7,WORRY,Larrychester,INDIVIDUAL,700,16,2023-06-07,Benjamin Chan,lharmon@example.net,(101) 8897038562,"848 Jimmy Hill Apt. 415
Stanleyside, MA 75473",Efectivo,En camino,Ninguno,18
20,PROFESSOR,Andrewside,GROUP,1500,16,2023-09-13,Susan Harvey,powersjimmy@example.org,5251947529,"67032 Megan Cliffs Suite 876
Loveside, SD 53246",Tarjeta,Entregado,Producto defectuoso,4
9,EDUCATION,Susanton,INDUSTRY,200,10,2023-01-04,Dr. Monica Woods,rbrown@example.org,(314) 257035737,"93043 Kiara Crossroad
Port Amandachester, WI 16919",Efectivo,En camino,Ninguno,88
13,FIRM,Courtneymouth,MOVEMENT,1100,21,2023-08-13,Juan Manning,eric24@example.com,(101) 8897038562,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Efectivo,Entregado,Producto defectuoso,74
14,PROFESSOR,East  Brittany,BUDGET,300,8,2024-12-09,Michelle?Mitchell,krystalmcdaniel@example.org,(001) 9023136721535,"848 Jimmy Hill Apt. 415
Stanleyside, MA 75473",Tarjeta,Entregado,Ninguno,36
7,UNDER,Valerietown,MEMBER,700,18,2023-09-13,Karl Cardenas,karaware@example.net,(175) 175834,"2644 Gonzalez Mills Apt. 856
Port Frank, IN 25816",Efectivo,Entregado,Ninguno,4
25,FACTOR,NewReginaldmouth,LEADER,2300,23,2023-05-05,Jennifer Holmes,wwilson@example.org,2661673098,"769 Dickerson Drive
Jasminemouth, HI 08895",Tarjeta,En camino,Ninguno,4
6,SONG,Milesburgh,MEMBER,900,13,2024-12-09,Jennifer Holmes,schmidtkrystal@example.org,(369) 746572373,"664 Berger Rapid
South Suzanne, WV 68526",Efectivo,En camino,Producto defectuoso,78
5,PROFESSOR,East Leah,AT,200,27,2023-07-08,Alan Bird,lweaver@example.org,(369) 746572373,"507 Johnson Port
Banksshire, AK 72140",Tarjeta,En camino,Ninguno,28
29,UNDER,Trujillofort,POPULAR,900,16,2023-07-15,Carla Orozco,rdaugherty@example.net,(001) 962368217,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Tarjeta,En camino,Producto defectuoso,21
3,HOME,Lake Juan,INDUSTRY,600,15,2023-10-15,Sharon Lowe,edward94@example.org,(686) 990991,"915  Mathis  Camp  Apt.  447
Thomastown,  MS  44338",Tarjeta,En camino,Ninguno,21
21,DOG,Brendanberg,INCREASE,300,12,2023-09-13,Jessica Davis,briangonzales@example.net,(509) 210932647,"22214 Janet Plaza Suite 903
West Christopherside, DC 40075",Tarjeta,Entregado,Producto defectuoso,18
11,HOME,Kevinton,WHOM,2400,15,2023-07-15,Mark Mays,eric87@example.org,(314) 257035737,"493 Cameron Ramp
Veronicatown, MI 81010",Tarjeta,Entregado,Producto defectuoso,74
4,IF,Kevinton,GROW,1100,10,2024-12-09,Angela Taylor,wwilson@example.org,(110) 59261937727,"769 Dickerson Drive
Jasminemouth, HI 08895",Tarjeta,En camino,Producto defectuoso,14
23,SIX,Trujillofort,LEG,700,11,2023-03-22,Benjamin Chan,dhuber@example.com,(612) 211834900,"22214 Janet Plaza Suite 903
West Christopherside, DC 40075",Tarjeta,Entregado,Producto defectuoso,19
2,FOCUS,Brendanberg,GROW,700,26,2024-12-09,Roger Stephens,ydavid@example.com,5251947529,"9978 Kenneth Plaza Suite 069
Monicafurt, NM 39529",Tarjeta,Entregado,Ninguno,43
7,EDUCATION,Courtneymouth,BUDGET,2500,23,2023-03-14,David Norton,lharmon@example.net,(509) 210932647,"91315!Simpson!Fork!Apt.!336
South!Mark,!GA!64860",Tarjeta,En camino,Producto defectuoso,97
12,WORRY,East Janicemouth,LEADER,300,11,2024-12-09,Lisa Stafford,wwilson@example.org,(641) 0065992234,"USS Fuller
FPO AA 30334",Tarjeta,En camino,Ninguno,83
22,STAFF,New Reginaldmouth,WHOM,2500,18,2022-12-04,Roger!Stephens,eric87@example.org,(686) 990991,"403 Ashley Mountains Apt. 918
Nicholasberg, MI 72538",Tarjeta,En camino,Ninguno,27
6,UP,Milesburgh,NORTH,1600,29,2023-08-27,Samantha Hodges,estesjon@example.org,(001) 94337542187814,"7474 Sean Pine
Frazierchester, OK 57469",Tarjeta,Entregado,Ninguno,97
15,EDUCATION,EastLeah,SET,900,21,2023-07-08,Susan Harvey,hornebeth@example.com,(339) 00428204920,"30768 Louis Mill
Lake Carmen, LA 47934",Tarjeta,En camino,Ninguno,27
14,DEMOCRATIC,West Charles,POPULAR,2000,2,2023-06-21,Roger Stephens,matthew29@example.com,(475) 36070987999,"7474 Sean Pine
Frazierchester, OK 57469",Tarjeta,Entregado,Ninguno,25
7,STAFF,East  Jonathan,JOB,1500,11,2024-12-09,Charles Williams,matthew29@example.com,(001) 962368217,"93043 Kiara Crossroad
Port Amandachester, WI 16919",Tarjeta,En camino,Ninguno,87
11,BASE,New Reginaldmouth,POPULAR,2300,22,2023-06-06,Mark Mays,ydavid@example.com,(001) 94337542187814,"37970?Hudson?Falls
Downshaven,?PA?58533",Tarjeta,Entregado,Ninguno,78
27,IF,Jodichester,JOB,2100,26,2023-06-06,Samantha Hodges,edward94@example.org,(372) 684886317,"915 Mathis Camp Apt. 447
Thomastown, MS 44338",Tarjeta,Entregado,Ninguno,98
18,JUST,Courtneymouth,STEP,1500,23,2023-11-20,Brittney Guerra,paul02@example.com,4914742586,"USS Fuller
FPO AA 30334",Tarjeta,En camino,Producto defectuoso,72
4,FACTOR,North Brittney,NORTH,1500,22,2023-09-12,Samantha Parker,eric24@example.com,(372) 684886317,"50604 Anthony Villages
New William, ME 95446",Tarjeta,Entregado,Producto defectuoso,97
5,FOCUS,Lindaport,AT,800,16,2023-01-18,Crystal Chambers,brianboyd@example.org,5251947529,"493 Cameron Ramp
Veronicatown, MI 81010",Tarjeta,En camino,Producto defectuoso,14
8,EDUCATION,Kevinton,MEMBER,2100,9,2023-09-13,David Scott,powersjimmy@example.org,(621) 75126511205,"PSC*2182,*Box*8243
APO*AP*79039",Efectivo,En camino,Producto defectuoso,43
22,STAFF,North Jasmine,PAY,2800,18,2023-09-23,Kelsey Lopez,edward94@example.org,(001) 94337542187814,"915 Mathis Camp Apt. 447
Thomastown, MS 44338",Efectivo,Entregado,Producto defectuoso,78
11,DOOR,West Charles,NORTH,1100,22,2023-07-10,Juan Manning,schmidtkrystal@example.org,(641) 0065992234,"PSC 2182, Box 8243
APO AP 79039",Efectivo,Entregado,Producto defectuoso,25
23,EDUCATION,Kevinton,INCREASE,200,9,2023-08-27,Samantha Hodges,brianboyd@example.org,(372) 684886317,"7474 Sean Pine
Frazierchester, OK 57469",Efectivo,Entregado,Producto defectuoso,21
10,STRATEGY,NewReginaldmouth,SPRING,300,30,2023-08-17,Samantha Hodges,edward94@example.org,(509) 210932647,"915 Mathis Camp Apt. 447
Thomastown, MS 44338",Efectivo,Entregado,Ninguno,36
22,CREATE,Port Kelly,INDUSTRY,300,14,2023-09-12,Dr. Monica Woods,edward94@example.org,(001) 389556200,"18235 Carl Garden Apt. 025
Lake Miranda, LA 16737",Efectivo,Entregado,Ninguno,54
5,BASE,West Charles,GROUP,900,14,2023-06-28,Carla Orozco,hornebeth@example.com,(314) 257035737,"0262 Cheryl Union
Sampsonfurt, ME 63401",Efectivo,En camino,Ninguno,36
12,PROFESSOR,Courtneymouth,MOVEMENT,1100,14,2023-01-04,Jennifer Holmes,steelejulian@example.net,(001) 962368217,"0827 Jill Cape Suite 299
Angieport, DC 15542",Efectivo,En camino,Ninguno,12
1,IF,Port Kelly,FORWARD,1100,16,2022-12-04,Cynthia Hayes,eric24@example.com,(602) 388997526,"37970*Hudson*Falls
Downshaven,*PA*58533",Tarjeta,En camino,Producto defectuoso,49
19,FOOD,East Janicemouth,NORTH,2100,25,2023-07-10,Sean Mitchell,wliu@example.net,6304696433,"403 Ashley Mountains Apt. 918
Nicholasberg, MI 72538",Tarjeta,Entregado,Producto defectuoso,24
7,DOG,EastBrittany,BUDGET,2500,13,2023-06-17,Alan Bird,brianboyd@example.org,(001) 94337542187814,"03346 Tony Spring Apt. 633
Ericberg, AK 73272",Tarjeta,En camino,Ninguno,39
23,ADMINISTRATION,East Jonathan,PAY,2100,11,2023-09-01,Angela?Taylor,vhill@example.org,(001) 962368217,"507 Johnson Port
Banksshire, AK 72140",Tarjeta,En camino,Ninguno,25
3,UNDER,Valerietown,PAY,700,30,2024-12-09,Dr. Monica Woods,eric87@example.org,2661673098,"18235 Carl Garden Apt. 025
Lake Miranda, LA 16737",Tarjeta,En camino,Producto defectuoso,12
15,FIRM,New Reginaldmouth,NORTH,800,15,2023-07-15,Carla Orozco,eric87@example.org,6304696433,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Tarjeta,En camino,Producto defectuoso,39
6,TRADE,Jessechester,LEG,2400,21,2024-12-09,Adam Mueller,vhill@example.org,(602) 388997526,"664 Berger Rapid
South Suzanne, WV 68526",Efectivo,Entregado,Ninguno,21
13,KITCHEN,LakeJuan,DESPITE,700,13,2023-07-08,Benjamin Chan,wwilson@example.org,(870) 608083698,"30768 Louis Mill
Lake Carmen, LA 47934",Efectivo,Entregado,Ninguno,36
23,STRATEGY,East Brittany,PAY,2600,14,2023-11-20,Michelle Mitchell,sandersbeth@example.org,6304696433,"03346 Tony Spring Apt. 633
Ericberg, AK 73272",Tarjeta,Entregado,Ninguno,18
4,CREATE,Lake Juan,FINISH,2100,15,2023-08-27,Andrew Mitchell,powersjimmy@example.org,8572628794,"233 Peterson Canyon
Tranmouth, ND 40770",Efectivo,En camino,Producto defectuoso,27
1,INVOLVE,Briannaport,FINISH,900,10,2023-07-15,Karl Cardenas,wliu@example.net,(001) 19330387387349,"7474 Sean Pine
Frazierchester, OK 57469",Efectivo,Entregado,Producto defectuoso,55
28,IF,South Thomas,POPULAR,1100,17,2023-05-06,Mark Mays,sandersbeth@example.org,(641) 0065992234,"30768 Louis Mill
Lake Carmen, LA 47934",Tarjeta,Entregado,Producto defectuoso,18
5,FOOD,Larrychester,AT,700,11,2023-09-12,David!Norton,wliu@example.net,(372) 684886317,"848 Jimmy Hill Apt. 415
Stanleyside, MA 75473",Tarjeta,Entregado,Producto defectuoso,30
20,DOOR,East Janicemouth,JOB,300,11,2024-12-09,Larry Welch,david09@example.com,(372) 684886317,"2644 Gonzalez Mills Apt. 856
Port Frank, IN 25816",Tarjeta,Entregado,Ninguno,19
28,SIX,Lake Juan,WHOM,700,23,2023-01-14,Alan*Bird,vhill@example.org,(001) 389556200,"PSC 2182, Box 8243
APO AP 79039",Tarjeta,Entregado,Producto defectuoso,55
10,SONG,WestCharles,WHOM,700,26,2022-12-04,Samantha  Parker,edward94@example.org,8572628794,"493 Cameron Ramp
Veronicatown, MI 81010",Efectivo,Entregado,Ninguno,21
21,DOG,Jodichester,LEG,900,28,2023-08-13,Roger Stephens,steelejulian@example.net,(509) 210932647,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Tarjeta,Entregado,Producto defectuoso,30
19,FACTOR,East Leah,TV,2500,17,2023-03-22,Susan Harvey,paul49@example.net,8487233346,"848 Jimmy Hill Apt. 415
Stanleyside, MA 75473",Efectivo,Entregado,Producto defectuoso,4
27,ADMINISTRATION,New  Reginaldmouth,MOVEMENT,1500,16,2023-06-06,Adam Mueller,paul49@example.net,8572628794,"4412  Lee  Dam  Apt.  872
Hunterbury,  HI  03589",Efectivo,Entregado,Producto defectuoso,43
